pos,value,force
24199,1004.64,0
24199,1005.86,0
24199,1004.64,0
24199,1000.98,0
24199,1004.64,0
24199,1004.64,0
24199,1005.86,0
24199,1005.86,0
24199,1004.64,0
24199,1005.86,0
24199,1004.64,0
24199,1003.42,0
24199,1005.86,0
24199,1004.64,0
24199,1004.64,0
24199,1003.42,0
24199,1005.86,0
24199,1005.86,0
24199,1010.74,0.06
24199,1004.64,0
24199,1003.42,0
24199,1005.86,0
24199,1004.64,0
24199,1005.86,0
24199,1005.86,0
24199,1004.64,0
24199,1005.86,0
24199,1004.64,0
24199,1004.64,0
24199,1004.64,0
24199,1004.64,0
24199,1004.64,0
24199,1004.64,0
24199,1005.86,0
24199,1004.64,0
24199,1004.64,0
24199,1005.86,0
24199,1004.64,0
24199,1005.86,0
24199,1007.08,0
24199,1004.64,0
24199,1004.64,0
24199,1008.3,0
24199,1005.86,0
24199,1005.86,0
24199,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1002.2,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1005.86,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,999.76,0
24200,1004.64,0
24200,1004.64,0
24200,1009.52,0
24200,1007.08,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1008.3,0
24200,1008.3,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1008.3,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1008.3,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1008.3,0
24200,1007.08,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1005.86,0
24200,1000.98,0
24200,1003.42,0
24200,1004.64,0
24200,1003.42,0
24200,1007.08,0
24200,1003.42,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1005.86,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1000.98,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1007.08,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1003.42,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1009.52,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,997.31,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1007.08,0
24200,1004.64,0
24200,1003.42,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1009.52,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1002.2,0
24200,1002.2,0
24200,1004.64,0
24200,1004.64,0
24200,1007.08,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1002.2,0
24200,1004.64,0
24200,1005.86,0
24200,1000.98,0
24200,1005.86,0
24200,1003.42,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1007.08,0
24200,1005.86,0
24200,1004.64,0
24200,1003.42,0
24200,1004.64,0
24200,1005.86,0
24200,1002.2,0
24200,1005.86,0
24200,1002.2,0
24200,1004.64,0
24200,1003.42,0
24200,1005.86,0
24200,1004.64,0
24200,1005.86,0
24200,1005.86,0
24200,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1002.2,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1002.2,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1002.2,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1003.42,0
24201,1003.42,0
24201,1003.42,0
24201,1004.64,0
24201,1000.98,0
24201,1005.86,0
24201,1005.86,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1005.86,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1003.42,0
24201,1002.2,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1003.42,0
24201,1005.86,0
24201,1007.08,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1007.08,0
24201,1008.3,0
24201,1007.08,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1010.74,0.06
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1003.42,0
24201,1000.98,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1002.2,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1005.86,0
24201,1004.64,0
24201,1003.42,0
24201,1005.86,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1007.08,0
24201,1004.64,0
24201,1005.86,0
24201,1005.86,0
24201,1003.42,0
24201,1003.42,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1000.98,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1007.08,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1002.2,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1005.86,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1008.3,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1005.86,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1003.42,0
24201,1005.86,0
24201,1007.08,0
24201,1004.64,0
24201,1003.42,0
24201,1003.42,0
24201,1003.42,0
24201,1005.86,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1005.86,0
24201,1005.86,0
24201,1005.86,0
24201,1002.2,0
24201,1004.64,0
24201,1004.64,0
24201,1000.98,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1003.42,0
24201,1005.86,0
24201,1005.86,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1002.2,0
24201,1003.42,0
24201,1004.64,0
24201,1007.08,0
24201,1004.64,0
24201,1000.98,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
24201,1007.08,0
24201,1004.64,0
24201,1004.64,0
24201,1003.42,0
24201,1004.64,0
24201,1008.3,0
24201,1005.86,0
24201,1010.74,0.06
24201,1004.64,0
24201,1005.86,0
24201,1004.64,0
